artist.hotttnesss,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,longitude,loudness,mode,mode_confidence,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,year
0.401997543,0.0,0.643,0.58521,0.834,0.58521,218.93179,0.247,0.581793766,1.0,0.736,37.15735675013362,-63.93335786851952,-11.197,0,0.636,218.932,0.779,0.28519,92.198,hip hop,1.0,4.0,0.778,0
0.417499645,1.0,0.007,0.71054,1.0,0.20627,148.03546,0.148,0.630630038,6.0,0.169,35.14968,-90.04892,-9.843,0,0.43,137.915,0.969,0.20627,121.274,blue-eyed soul,1.0,4.0,0.384,1969
0.343428378,0.0,0.98,0.73152,0.98,0.73152,177.47546,0.282,0.487356791,8.0,0.643,37.15735675013362,-63.93335786851952,-9.689,1,0.565,172.304,0.482,0.42132,100.07,salsa,1.0,1.0,0.0,0
0.454231157,1.0,0.017,1.30621,0.809,0.81002,233.40363,0.0,0.630382334,0.0,0.751,37.15735675013362,-63.93335786851952,-9.013,1,0.749,217.124,0.601,0.56254,119.293,pop rock,0.988583863,4.0,0.0,1982
0.401723686,0.0,0.175,1.06368,0.883,0.13576,209.60608,0.066,0.651045661,2.0,0.092,37.15735675013362,-63.93335786851952,-4.501,1,0.371,198.699,1.0,0.13576,129.738,pop punk,0.887288301,4.0,0.562,2007
0.385470551,0.0,0.121,1.17118,0.438,0.74856,267.7024,2.264,0.535292736,5.0,0.635,37.15735675013362,-63.93335786851952,-9.323,1,0.557,254.27,0.136,0.53929,147.782,southern gospel,1.0,3.0,0.454,0
0.261941177,0.0,0.709,0.27253,0.709,0.27253,114.78159,0.096,0.556495602,1.0,0.0,37.15735675013362,-63.93335786851952,-17.302,1,0.0,114.782,0.467,0.05611,111.787,breakbeat,1.0,1.0,0.0,0
0.605507136,0.0,0.142,0.65428,0.234,0.65428,189.57016,0.319,0.801136447,4.0,0.0,37.15735675013362,-63.93335786851952,-11.642,0,0.16,181.023,0.292,0.36129,101.43,post-hardcore,0.999818045,3.0,0.408,0
0.332275747,0.0,0.806,1.91886,0.44,1.22595,269.81832,5.3,0.426667857,4.0,0.717,37.15735675013362,-63.93335786851952,-13.496,1,0.652,258.99,0.121,1.22595,86.643,new wave,0.959766246,4.0,0.487,1984
0.422705641,0.0,0.047,0.62445,1.0,0.09933,266.39628,0.084,0.550513698,7.0,0.053,37.15735675013362,-63.93335786851952,-6.697,0,0.473,261.747,1.0,0.09933,114.041,breakcore,0.915601748,4.0,0.878,0
